# 결정 칸에 셋 중 하나를 적으세요 — 후보는 참고일 뿐 고를 필요 없습니다
#   재료명   우리 사전(525종)에 있는 이름. 예) 매실액 → 매실청
#   X        재료가 아님 (도구·용기·소모품)
#   NEW      사전에 없는 새 재료. 예) 물 · 밥 · 육수
# 양념/식재료 같은 분류는 적지 않습니다 — 역할은 P4 가 자동 판정합니다
# 쓸 수 있는 이름 목록:  bench/out/dictionary.tsv
순위	빈도	누적%	표현	결정	후보1	후보2	후보3	비고
273	38	43.7	적채		적상추	적양파	적양배추	
274	37	43.7	소고기 불고기용		불고기용소고기	소고기	국거리용소고기	
275	37	43.7	현미유		현미	발아현미	현미식초	
276	37	43.8	얼갈이		얼갈이배추	갈치	팔각	
277	37	43.8	샐러드채소		채수	셀러리	부채살	
278	37	43.9	돼지앞다리살		뒷다리살	닭다리살	돼지안심	
279	37	43.9	송송썬파		양송이버섯	건포도	송이버섯	
280	37	44.0	어간장		두반장	된장	춘장	
281	37	44.0	매운고춧가루		풋고추	건고추	홍고추	
282	37	44.0	소금 간맞추기		소금	맛소금	꽃소금	
283	37	44.1	표고버섯가루		표고버섯	건표고버섯	고춧가루	
284	37	44.1	만능간장		두반장	된장	춘장	
285	36	44.2	뉴슈가					
286	36	44.2	감자 중		감자	감자전분	쌈장	
287	36	44.3	주황파프리카		파프리카가루	양파	피칸	
288	36	44.3	실온 무염버터		가염버터	천일염	순무	
289	36	44.3	참기름 1바퀴		참기름	들기름	고추기름	
290	36	44.4	국멸치		멸치육수	멸치액젓	멸치다시팩	
291	36	44.4	김장김치		쌈장	크림치즈	김	
292	36	44.5	참치 액		참치	참치캔	삼치	
293	35	44.5	파프리카 노랑		파프리카	파프리카가루	카놀라유	
294	35	44.5	국그릇		국간장	쑥갓	국거리용소고기	
295	35	44.6	슈가 파우더		코코아파우더	베이킹파우더	아욱	
296	35	44.6	팥앙금		당근	팥	망고	
297	35	44.7	씨겨자		겨자잎	겨자가루		
298	35	44.7	즉석밥		흑설탕	석류	족발	
299	35	44.7	돼지고기 등심		돼지고기	돼지고기다짐육	수육용돼지고기	
300	35	44.8	간양파		양파가루	양조간장	양지	
301	35	44.8	럼주					
302	35	44.9	돼지고기안심		돼지고기	돼지고기다짐육	수육용돼지고기	
303	34	44.9	미니새송이버섯		양송이버섯	백만송이버섯	팽이버섯	
304	34	44.9	묵은김치		크림치즈	김	굵은고춧가루	
305	34	45.0	소고기불고기		불고기용소고기	소고기다시다	소고기다짐육	
306	34	45.0	치즈가루		체다치즈	고다치즈	브리치즈	
307	34	45.1	밀가루 박력분		밀가루	메밀가루	통밀가루	
308	34	45.1	식힘망		피망	망고	식초	
309	34	45.1	칼국수		칼국수면	쌀국수면	살구	
310	33	45.2	볶은소금		닭볶음탕용닭	떡볶이떡	은행	
311	33	45.2	송송 썬 쪽파		양송이버섯	송이버섯	베이킹소다	
312	33	45.3	황태포		황태	황태채	명태	
313	33	45.3	양파대		양파	적양파	양파가루	
314	33	45.3	녹인 버터		목이버섯	녹두	로메인	
315	33	45.4	소금 소량		소금	맛소금	꽃소금	
316	33	45.4	사과즙		사과	사과식초	레몬즙	
317	33	45.4	돼지고기등심		돼지고기	돼지고기다짐육	수육용돼지고기	
318	33	45.5	불린쌀		쌀가루	올리브	파슬리	
319	33	45.5	부순 깨		수수	순무	죽순	
320	33	45.6	불린 쌀		쌀가루	올리브	파슬리	
321	32	45.6	참외		참깨	참치	참치캔	
322	32	45.6	스텐트레이		홀그레인머스타드	플레인요거트	토마토페이스트	
323	32	45.7	포크		오크라			
324	32	45.7	돌나물		물엿	물만두	차돌박이	
325	32	45.7	후추 소량		후추	통후추	백후추	
326	32	45.8	다시물		다시마	다시다	소고기다시다	
327	32	45.8	오레오		오렌지	오레가노	훈제오리	
328	32	45.9	다진 쪽파		다진파	다진마늘	다진생강	
329	32	45.9	들깻가루		들깨	고춧가루	고운고춧가루	
330	32	45.9	아몬드파우더		아몬드	코코아파우더	베이킹파우더	
331	32	46.0	송송 썬 파		양송이버섯	건포도	송이버섯	
332	32	46.0	돼지고기 잡채용		돼지고기	수육용돼지고기	돼지고기다짐육	
333	32	46.0	젓가락		고춧가루	고운고춧가루	굵은고춧가루	
334	32	46.1	토마토 소스		토마토	토마토홀	방울토마토	
335	32	46.1	소고기양지		소고기	불고기용소고기	소고기다시다	
336	32	46.1	고추냉이		홍고추	풋고추	건고추	
337	32	46.2	깻잎 1묶음		깻잎	닭볶음탕용닭	얼음	
338	32	46.2	밀가루중력분		밀가루	강력분	메밀가루	
339	32	46.3	인삼		삼치	로메인	우둔살	
340	32	46.3	고구마줄기		고구마	고구마전분	고구마순	
341	31	46.3	후추 톡		후추	통후추	백후추	
342	31	46.4	감자 큰거		감자	감자전분	쌈장	
343	31	46.4	쥬키니호박		호박씨	주키니	박력분	
344	31	46.4	맛술 미림		맛술	맛살	맛소금	
345	31	46.5	박력쌀가루		박력분	밀가루	메밀가루	
346	31	46.5	오이피클		오이	오이지	백오이	
347	31	46.5	다진김치		다진파	다진마늘	다진생강	
348	31	46.6	양파 중		양파	적양파	양파가루	
349	31	46.6	깻잎순		깻잎	순무	죽순	
350	30	46.6	후추 2번		후추	통후추	백후추	
351	30	46.7	다시마 5cm x 5cm		다시마	다시다	소고기다시다	
352	30	46.7	두부 300g		두부	순두부	연두부	
353	30	46.8	허브소금		소고기	시금치	소갈비	
354	30	46.8	노					
355	30	46.8	만		만두	물만두	왕만두	
356	30	46.9	참치 액젓		멸치액젓	까나리액젓	참치	
357	30	46.9	바닐라빈		바나나	루꼴라	살라미	
358	30	46.9	소고기 불고기감		불고기용소고기	소고기	소고기다시다	
359	30	47.0	백앙금		당근	백오이	망고	
360	30	47.0	닭 볶음탕용		닭볶음탕용닭	닭봉	닭발	
361	30	47.0	멸치다시마 육수		멸치다시팩	멸치육수	다시마	
362	30	47.1	파슬리가루 생략가능		파슬리	계피가루	마늘가루	
363	30	47.1	슬라이스 아몬드		슬라이스햄	슬라이스치즈	라이스페이퍼	
364	30	47.1	허브가루		메밀가루	고춧가루	통밀가루	
365	30	47.2	감자 작은것		감자	감자전분	쌈장	
366	30	47.2	대파뿌리		대파	원추리	메추리알	
367	30	47.2	애느타리버섯		팽이버섯	목이버섯	송이버섯	
368	30	47.3	시판된장		간장	춘장	두반장	
369	30	47.3	핫케익가루		케일	케이퍼	메밀가루	
370	30	47.3	홍청양고추		홍고추	양고기	청어	
371	30	47.4	지리멸치		멸치육수	멸치액젓	멸치다시팩	
372	30	47.4	쌈채소		채수	삼치	참치	
373	29	47.4	훈제연어		훈제오리	연어캔	연유	
374	29	47.5	조리용젓가락		국거리용소고기	고춧가루	까나리액젓	
375	29	47.5	채 썬 양파		양파가루	양지	양배추	
376	29	47.5	구운김		고운고춧가루	파김치	갓김치	
377	29	47.6	새싹					
378	29	47.6	보리새우		보리	새우젓	소꼬리	
379	29	47.6	다시마멸치육수		다시마	멸치다시팩	멸치	
380	29	47.7	매운 고춧가루		풋고추	건고추	홍고추	
381	29	47.7	양파 큰거		양파	적양파	양파가루	
382	29	47.7	부순깨		수수	순무	죽순	
383	29	47.8	고운 고추가루		고운고춧가루	고춧가루	굵은고춧가루	
384	28	47.8	실리콘주걱		칠리소스	병아리콩	리코타치즈	
385	28	47.8	돈가스 소스		닭가슴살	레몬그라스	프랑크소시지	
386	28	47.9	미니파프리카		파프리카가루	피칸	미나리	
387	28	47.9	실곤약		실파	매실	곤드레	
388	28	47.9	바닐라오일		오이	코코넛오일	오이지	
389	28	48.0	돼지고기 불고기용		불고기용소고기	돼지고기	수육용돼지고기	
390	28	48.0	다시마우린물		다시마	다시다	소고기다시다	
391	28	48.0	비엔나		비엔나소시지	펜네		
392	28	48.1	피자소스		피자치즈	비엔나소시지	기장	
393	28	48.1	생와사비		매생이	냉이	생수	
394	28	48.1	고추씨		홍고추	풋고추	건고추	
395	27	48.2	깐메추리알		원추리	날치알	또띠아	
396	27	48.2	치킨너겟		치킨스톡	치커리	참치캔	
397	27	48.2	소고기 국거리용		국거리용소고기	불고기용소고기	소고기	
398	27	48.3	원형접시		미원	원추리	항정살	
399	27	48.3	양파 소		양파	적양파	양파가루	
400	27	48.3	계란물		단무지	순무	토란	
401	27	48.3	차가운 버터		아욱	마가린	겨자가루	
402	27	48.4	불고기		불고기용소고기	조기	소고기다시다	
403	27	48.4	청양고추 생략가능		청양고추	홍고추	양고기	
404	27	48.4	대파 송송		대파	양송이버섯	파슬리	
405	27	48.5	빵		빵가루	식빵	모닝빵	
406	27	48.5	둥근호박		호박씨	당근	미지근한물	
407	27	48.5	MSG					
408	27	48.6	국물멸치		멸치육수	멸치액젓	멸치다시팩	
409	27	48.6	우스타소스		머스타드	파스타면	피스타치오	
410	27	48.6	콜라비		루꼴라	콜리플라워	초콜릿	
411	27	48.7	간 생강		생강즙	강황가루	생수	
412	26	48.7	불닭소스		스위트칠리소스	닭봉	통닭	
413	26	48.7	식용유 넉넉하게		식용유	그릭요거트	수육용돼지고기	
414	26	48.7	돼지 앞다리살		뒷다리살	닭다리살	돼지안심	
415	26	48.8	전골냄비		건고추	전갱이	전분	
416	26	48.8	어린잎		정어리	민어	깻잎	
417	26	48.8	자색양파		양파가루	적양배추	양지	
418	26	48.9	연두순		연두부	순두부	수수	
419	26	48.9	돼지고기 불고기		돼지고기다짐육	수육용돼지고기	불고기용소고기	
420	26	48.9	반건조오징어		오징어채	오징어젓	광어	
421	26	49.0	인스턴트커피		치킨스톡	랍스터	우스터소스	
422	26	49.0	쌀엿		물엿	쌀	찹쌀	
423	26	49.0	바질페스토		바질	바지락	치킨스톡	
424	25	49.0	면보		소면	전복	중면	
425	25	49.1	토마토스파게티소스		스파게티면	토마토	토마토홀	
426	25	49.1	당근 소량		당근	굵은소금	소라	
427	25	49.1	미숫가루		고춧가루	고운고춧가루	굵은고춧가루	
428	25	49.2	땅콩분태		땅콩	강낭콩	콩비지	
429	25	49.2	인스턴트 커피		치킨스톡	랍스터	우스터소스	
430	25	49.2	체더치즈		헤이즐넛	체다치즈	고다치즈	
431	25	49.2	레드페퍼		레드와인	페퍼론치노	라이스페이퍼	
432	25	49.3	부순 참깨		수수	순무	참치	
433	25	49.3	새우젓국물		새우젓	국물용멸치	새우	
434	25	49.3	가는 소금		마늘	소고기	시금치	
435	25	49.4	다진피클		다진파	다진마늘	다진생강	
436	25	49.4	양파 작은 것		양파	적양파	양파가루	
437	25	49.4	골뱅이국물		골뱅이	국물용멸치	냉이	
438	25	49.5	간 양파		양파가루	양조간장	양지	
439	25	49.5	오징어실채		오징어	오징어채	갑오징어	
440	25	49.5	밀가루강력분		밀가루	중력분	메밀가루	
441	25	49.5	잡채용 돼지고기		돼지고기다짐육	오리고기	돼지갈비	
442	25	49.6	쌀국수		쌀국수면	칼국수면	살구	
443	24	49.6	코인 육수		사골육수	멸치육수	파인애플	
444	24	49.6	소고기등심		소고기	소고기다시다	소고기다짐육	
445	24	49.6	홀그레인머스터드		홀그레인머스타드	머스타드	플레인요거트	
446	24	49.7	참치 150g		참치	참치캔	삼치	
447	24	49.7	밥 1그릇		그린빈	그릭요거트	레몬그라스	
448	24	49.7	차가운 물		순무	아욱	물엿	
449	24	49.8	누텔라		젤라틴	모짜렐라치즈	루꼴라	
450	24	49.8	잼					
451	24	49.8	밥주걱					
452	24	49.8	포도씨오일		포도씨유	오이	포도	
453	24	49.9	인스턴트 드라이이스트		슬라이스햄	라이스페이퍼	슬라이스치즈	
454	24	49.9	굵은고추가루		굵은고춧가루	고춧가루	고운고춧가루	
455	24	49.9	판젤라틴		모짜렐라치즈	간장	루꼴라	
456	24	50.0	물전분		전복	물	분유	
457	24	50.0	미더덕		더덕			
458	24	50.0	주키니호박		주키니	호박씨	박력분	
459	23	50.0	반찬통		한치	통닭	한천	
460	23	50.1	주방필러		대추방울토마토	방어	셀러리	
461	23	50.1	다진 홍고추		다진파	청양고추	다진마늘	
462	23	50.1	찐고구마		고구마순	고구마전분	소고기	
463	23	50.1	감자소		감자	쌈장	감자전분	
464	23	50.2	식물성 오일		오이	코코넛오일	오이지	
465	23	50.2	부침유		부침용두부	부침가루	부추	
466	23	50.2	요리솔		칠리소스	스위트칠리소스	피시소스	
467	23	50.2	메밀국수		메밀	메밀가루	칼국수면	
468	23	50.3	미니단호박		늙은호박	애호박	호박씨	
469	23	50.3	등심		고등어	소안심	등갈비	
470	23	50.3	다진고추		다진파	다진마늘	다진생강	
471	23	50.4	사골국물		국물용멸치	사골육수	칼국수면	
472	23	50.4	인스턴트 드라이 이스트		슬라이스햄	라이스페이퍼	슬라이스치즈	
473	23	50.4	불닭볶음면		닭볶음탕용닭	닭봉	닭발	
474	23	50.4	골뱅이통조림		골뱅이	냉이	뱅어포	
475	23	50.5	흰밥		달걀흰자			
476	23	50.5	납작당면		짜장면면	중면	우동면	
477	23	50.5	베이글		베이컨	베이킹소다	케일	
478	23	50.5	자른미역		현미	미원	끓는물	
479	23	50.6	레몬청		레몬	레몬즙	레몬그라스	
480	23	50.6	소금 기호에맞게		소금	맛소금	꽃소금	
481	23	50.6	소고기 양지		소고기	불고기용소고기	소고기다시다	
482	23	50.6	돼지고기 삼겹살		돼지고기	돼지고기다짐육	수육용돼지고기	
483	22	50.7	달걀물		달걀	달걀흰자	달걀노른자	
484	22	50.7	스리라차소스		스리라차	비엔나소시지	스위트칠리소스	
485	22	50.7	아기 간장		두반장	된장	춘장	
486	22	50.7	대파 초록부분		대파	중력분	강력분	
487	22	50.8	죽염		북어	죽순	북어채	
488	22	50.8	오븐팬		가쓰오부시			
489	22	50.8	육수팩		사골육수	멸치육수	죽순	
490	22	50.8	말차가루		마가린	메밀가루	고춧가루	
491	22	50.9	애플민트		파인애플	파인애플캔	민어	
492	22	50.9	집고추장		홍고추	풋고추	건고추	
493	22	50.9	통깨 팍팍		대파	쪽파	통닭	
494	22	50.9	꽃빵		꽃게	식빵	빵가루	
495	22	51.0	한천가루		한천	한치	메밀가루	
496	22	51.0	김밥 김		파김치	갓김치	백김치	
497	22	51.0	케쳡		케첩			
498	22	51.0	마른표고버섯		팽이버섯	목이버섯	송이버섯	
499	22	51.1	신라면		라면사리	파스타면	소면	
500	22	51.1	소고기 등심		소고기	소고기다시다	소고기다짐육	
501	22	51.1	채소		채수	부채살	새송이버섯	
502	22	51.2	치킨		치킨스톡	치커리	참치캔	
503	22	51.2	사골곰탕		사골육수	사과	닭볶음탕용닭	
504	22	51.2	천연조미료		조미김	천일염	도미	
505	21	51.2	채썬 양배추		알배추	배추김치	얼갈이배추	
506	21	51.2	매셔		매실	매생이	매실청	
507	21	51.3	감자 큰것		감자	감자전분	쌈장	
508	21	51.3	조리용가위		국거리용소고기	불고기용소고기	보리	
509	21	51.3	파프리카노랑		파프리카	파프리카가루	카놀라유	
510	21	51.3	샌드위치햄		곤드레	아몬드	레드와인	
511	21	51.4	땅콩가루		땅콩	강낭콩	메밀가루	
512	21	51.4	베이비채소		베이컨	베이킹소다	새송이버섯	
513	21	51.4	바닐라향		바나나	루꼴라	살라미	
514	21	51.4	맛타리버섯		팽이버섯	목이버섯	송이버섯	
515	21	51.5	코코넛가루		코코넛	코코넛밀크	코코넛오일	
516	21	51.5	청양고추 선택		청양고추	홍고추	양고기	
517	21	51.5	실온 버터		실파	매실	온수	
518	21	51.5	훈제오리고기		훈제오리	돼지고기	소고기	
519	21	51.6	들기름참기름		들기름	고추기름	딸기	
520	21	51.6	초코펜		초콜릿	펜네	코코넛	
521	21	51.6	우리밀 중력분		강력분	박력분	메밀	
522	21	51.6	볶음참깨		닭볶음탕용닭	떡볶이떡	참치	
523	21	51.7	잡채					
524	21	51.7	청량초		청어	조청	청주	
525	21	51.7	썬 대파		근대	토란대	번데기	
526	21	51.7	오리훈제		훈제오리	오리고기	보리	
527	21	51.8	매실진액		매실	매실청	파인애플	
528	20	51.8	인덱스도마		도미	토마토	로메인	
529	20	51.8	비정제 황설탕		흑설탕	황태	청주	
530	20	51.8	김자반		김	감자	쌈장	
531	20	51.8	밥새우		새우젓	랍스터	새우	
532	20	51.9	깻가루		고춧가루	고운고춧가루	메밀가루	
533	20	51.9	양파 큰것		양파	적양파	양파가루	
534	20	51.9	청홍고추		청양고추	풋고추	건고추	
535	20	51.9	감자대		감자	쌈장	감자전분	
536	20	52.0	다진 피클		다진파	다진마늘	다진생강	
537	20	52.0	바닐라엑스트렉		이스트	카놀라유	콜리플라워	
538	20	52.0	마른홍고추		청양고추	풋고추	건고추	
539	20	52.0	케챂		케첩			
540	20	52.1	스프링클		휘핑크림	파프리카	생크림	
541	20	52.1	올리고당물엿		올리고당	올리브	올리브유	
542	20	52.1	청양홍고추		청양고추	청어	풋고추	
543	20	52.1	다진 쇠고기		다진생강	다진파	소고기다짐육	
544	20	52.1	허니머스터드소스		머스타드	랍스터	홀그레인머스타드	
545	20	52.2	조랭이떡		떡볶이떡	냉이	매생이	
546	20	52.2	풋마늘		마늘종	마늘가루	풋고추	
547	20	52.2	수박		애호박	호박씨	단호박	
548	20	52.2	LA갈비		갈치	알배추	갈매기살	
549	20	52.3	멸치다싯물		멸치다시팩	멸치	다시다	
550	19	52.3	비름나물		참기름	들기름	고추기름	
551	19	52.3	초록 파프리카		파프리카가루	쪽파	피칸	
552	19	52.3	냉동만		우동면	왕만두	냉이	
553	19	52.4	다진 김치		다진파	다진마늘	다진생강	
554	19	52.4	참치캔 150g		참치캔	참치	삼치	
555	19	52.4	갈은 깨		검은깨	얼갈이배추	갈치	
556	19	52.4	종이컵		베이컨	송이버섯	새송이버섯	
557	19	52.4	무쌈		쌈장			
558	19	52.5	코코아 가루		코코아파우더	코코넛	마가린	
559	19	52.5	채썬양파		양파가루	양지	양배추	
560	19	52.5	블랙 올리브		올리브유	올리고당	콜리플라워	
561	19	52.5	양파껍질		양파	적양파	양파가루	
562	19	52.5	따뜻한물		단무지	순무	한치	
563	19	52.6	홀토마토		토마토홀	대추방울토마토	토마토페이스트	
564	19	52.6	실고추		고추장	초고추장	고추기름	
565	19	52.6	쟁					
566	19	52.6	실온 달걀		달걀흰자	달걀노른자	실파	
567	19	52.7	후추가루 소량		후추	옥수수가루	밀가루	
568	19	52.7	맛술미림		맛술	맛살	맛소금	
569	19	52.7	흰후추		부추	달걀흰자	후추	
570	19	52.7	과일		케일	천일염	레드와인	
571	19	52.7	우거지		저지방우유			
572	19	52.8	대파잎		대파	겨자잎	파인애플	
573	19	52.8	와인		로메인	파인애플	파인애플캔	
574	19	52.8	양파 1/		양파	적양파	양파가루	
575	19	52.8	천연조미료육수		사골육수	멸치육수	조미김	
576	18	52.9	두부면		두부	순두부	연두부	
577	18	52.9	파프리카빨강		파프리카	파프리카가루	팔각	
578	18	52.9	매운 고추		고운고춧가루	고추장	굵은고춧가루	
579	18	52.9	다진마늘 듬뿍		다진마늘	마늘	다진파	
580	18	52.9	플레인요구르트		플레인요거트	파인애플	파인애플캔	
581	18	53.0	리챔		브리치즈			
582	18	53.0	돼지고기앞다리		돼지고기	앞다리살	돼지고기다짐육	
583	18	53.0	매운 고추가루		고운고춧가루	고춧가루	굵은고춧가루	
584	18	53.0	관자		간장	된장	춘장	
585	18	53.0	플레이팅도마		플레인요거트	콜리플라워	토마토페이스트	
586	18	53.1	밥 2그릇		그린빈	그릭요거트	레몬그라스	
587	18	53.1	냉면 육수		냉면사리	사골육수	멸치육수	
588	18	53.1	화이트초콜릿		브로콜리	화이트와인	콜리플라워	
589	18	53.1	멸치다시백		멸치다시팩	멸치	다시다	
590	18	53.1	바질잎		바질	바지락	가지	
591	18	53.2	참기름들기름		참기름	고추기름	딸기	
592	18	53.2	다시마 우린물		다시마	다시다	소고기다시다	
593	18	53.2	돼지 등갈비		돼지갈비	돼지등심	소갈비	
594	18	53.2	저염 간장		두반장	된장	춘장	
595	18	53.2	멸치다시다		멸치다시팩	멸치	잔멸치	
596	18	53.3	레몬주스		레몬즙	레몬	레몬그라스	
597	18	53.3	양파청		양파	적양파	양파가루	
598	18	53.3	페페로치노		페퍼론치노			
599	18	53.3	수삼		우삼겹	수수	삼치	
600	18	53.4	곶감		감자	감자전분		
601	18	53.4	치킨파우더		베이킹파우더	코코아파우더	치킨스톡	
602	18	53.4	채 썬 파		건포도	건표고버섯	다진파	
603	18	53.4	북어포		북어	북어채	뱅어포	
604	18	53.4	물엿올리고당		물엿	올리브	올리브유	
605	18	53.5	호박잎		애호박	호박씨	단호박	
606	17	53.5	자일로스설탕		알룰로스	겨자잎	칠리소스	
607	17	53.5	감자 작은 것		감자	감자전분	쌈장	
608	17	53.5	아보카도오일		아보카도	오이	코코넛오일	
609	17	53.5	초장		기장	장어	간장	
610	17	53.6	후추 3번		후추	통후추	백후추	
611	17	53.6	스팸 작은거		스팸	굵은고춧가루	감자	
612	17	53.6	샤브샤브용 소고기		소고기다시다	소고기다짐육	수육용돼지고기	
